"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 04-Jul-2024"
"TARIL","476.95","476.95","465.00","470.30","471.95","-","1.65","0.35","4,48,531","21.05","648.90","300.75","-11.73","-"
"POWERGRID","293.70","295.15","291.65","293.70","294.70","-","1.00","0.34","1,41,93,884","415.80","366.25","247.30","1.89","-12.24"
"LT","3,590.00","3,600.00","3,570.10","3,582.90","3,595.00","-","12.10","0.34","6,96,402","249.83","3,963.50","2,965.30","-0.88","0.60"
"NTPC","335.70","336.00","332.25","334.60","335.75","-","1.15","0.34","58,99,185","197.05","448.45","292.80","1.90","-10.04"
"JYOTHYLAB","343.50","344.90","338.00","340.85","342.00","-","1.15","0.34","3,21,380","10.95","595.85","300.10","0.22","-27.53"
"UTIAMC","1,294.90","1,294.90","1,280.30","1,285.60","1,290.00","-","4.40","0.34","57,437","7.40","1,403.65","905.00","11.67","23.52"
"NBCC","117.90","119.13","117.30","117.51","117.90","-","0.39","0.33","55,58,954","65.66","139.83","70.80","-5.61","-36.86"
"GRANULES","491.40","497.35","490.50","490.15","491.75","-","1.60","0.33","4,85,607","23.99","721.00","422.00","-6.59","-4.24"
"DELHIVERY","389.00","392.00","387.55","388.85","390.10","-","1.25","0.32","13,04,996","50.95","447.65","236.53","5.60","-2.05"
"BALRAMCHIN","588.25","600.50","584.70","588.25","590.15","-","1.90","0.32","2,83,438","16.74","691.80","419.05","-0.95","37.98"
"LICHSGFIN","609.00","615.95","607.25","609.35","611.25","-","1.90","0.31","6,76,058","41.33","826.75","483.70","1.23","-22.98"
"ENDURANCE","2,802.50","2,834.90","2,768.00","2,781.20","2,789.70","-","8.50","0.31","1,01,232","28.26","3,030.00","1,675.00","13.97","1.73"
"ANANDRATHI","2,110.00","2,129.40","2,092.00","2,101.50","2,108.00","-","6.50","0.31","73,897","15.58","2,323.00","1,594.00","6.90","-45.93"
"ALIVUS","1,040.00","1,051.60","1,025.00","1,033.10","1,036.30","-","3.20","0.31","83,328","8.67","1,335.10","819.05","1.65","-"
"BAJAJHLDNG","14,293.00","14,405.00","14,174.00","14,184.00","14,227.00","-","43.00","0.30","28,212","40.25","14,740.00","8,820.55","6.06","43.66"
"BEL","430.00","432.40","425.75","426.25","427.50","-","1.25","0.29","1,66,18,426","713.03","436.00","240.25","9.46","34.73"
"RTNINDIA","61.50","62.21","60.84","61.47","61.65","-","0.18","0.29","46,28,240","28.49","92.10","37.42","29.12","-23.97"
"INDGN","568.25","571.10","562.00","566.25","567.90","-","1.65","0.29","2,78,797","15.78","736.30","499.00","-3.88","5.13"
"HDFCBANK","1,987.10","2,003.50","1,980.00","1,987.10","1,992.70","-","5.60","0.28","39,31,972","781.48","2,027.10","1,588.05","2.48","15.18"
"INDIACEM","343.55","347.70","338.75","342.95","343.90","-","0.95","0.28","4,42,951","15.24","385.00","238.85","0.97","20.43"
"ACE","1,184.50","1,193.50","1,177.00","1,183.70","1,187.00","-","3.30","0.28","86,470","10.25","1,603.00","917.45","-6.18","-22.13"
"GODREJIND","1,168.90","1,235.00","1,150.10","1,159.00","1,162.00","-","3.00","0.26","11,81,701","141.55","1,390.00","766.00","-1.93","31.05"
"HAVELLS","1,575.90","1,592.00","1,564.00","1,572.60","1,576.60","-","4.00","0.25","6,39,702","101.15","2,106.00","1,381.30","5.17","-16.20"
"PRAJIND","496.00","499.35","493.90","497.25","498.50","-","1.25","0.25","3,24,822","16.14","875.00","443.90","0.85","-31.91"
"TITAGARH","940.00","946.10","925.00","939.20","941.50","-","2.30","0.24","12,72,911","119.26","1,861.10","654.55","1.20","-47.39"
"CESC","178.08","179.88","177.28","178.08","178.50","-","0.42","0.24","29,46,549","52.64","212.49","119.00","5.76","12.30"
"TATATECH","707.90","712.35","704.10","706.15","707.80","-","1.65","0.23","9,51,660","67.41","1,136.00","597.00","-6.77","-29.82"
"LODHA","1,371.00","1,382.00","1,354.30","1,368.90","1,372.00","-","3.10","0.23","4,25,688","58.26","1,595.00","1,035.15","-5.31","-9.38"
"ANANTRAJ","545.30","548.90","538.90","545.30","546.55","-","1.25","0.23","8,81,328","47.99","947.90","376.15","-4.20","11.49"
"RECLTD","394.30","397.10","390.20","393.15","394.00","-","0.85","0.22","56,68,163","222.73","654.00","357.35","-1.81","-31.62"
"CIPLA","1,508.40","1,521.00","1,503.90","1,508.70","1,512.00","-","3.30","0.22","11,18,483","169.33","1,702.05","1,335.00","2.81","2.20"
"VTL","498.90","503.75","495.05","498.90","500.00","-","1.10","0.22","96,670","4.83","592.00","361.10","2.32","3.13"
"JINDALSAW","233.03","236.01","231.52","233.03","233.51","-","0.48","0.21","13,38,746","31.17","383.85","199.62","7.22","-57.88"
"MINDACORP","519.90","524.80","512.50","518.90","520.00","-","1.10","0.21","3,05,482","15.88","652.00","453.65","0.72","4.76"
"GAIL","192.74","195.19","191.65","192.74","193.10","-","0.36","0.19","1,17,48,872","227.16","246.30","150.52","2.05","-11.75"
"KPITTECH","1,265.90","1,270.00","1,252.60","1,261.60","1,264.00","-","2.40","0.19","5,73,508","72.42","1,928.70","1,020.60","-4.13","-27.44"
"SYRMA","606.85","614.80","600.00","606.85","608.00","-","1.15","0.19","8,52,918","51.91","647.10","370.00","13.83","20.36"
"RKFORGE","665.00","673.50","652.45","664.10","665.35","-","1.25","0.19","4,91,201","32.50","1,064.05","553.00","12.49","-30.75"
"LINDEINDIA","6,625.00","6,633.00","6,563.00","6,594.50","6,607.00","-","12.50","0.19","21,341","14.09","9,333.00","5,242.40","-12.08","-27.00"
"PREMIERENE","1,054.50","1,071.00","1,045.10","1,053.10","1,055.00","-","1.90","0.18","8,74,030","92.61","1,388.00","774.05","0.03","-"
"CANBK","113.56","115.10","113.56","114.16","114.35","-","0.19","0.17","1,05,69,354","120.95","119.30","78.60","-2.51","-2.47"
"PFIZER","5,800.00","5,850.00","5,740.00","5,783.00","5,793.00","-","10.00","0.17","65,640","38.03","6,451.15","3,701.00","0.58","25.19"
"KOTAKBANK","2,124.00","2,137.30","2,111.00","2,126.60","2,130.00","-","3.40","0.16","16,86,215","357.79","2,301.90","1,679.05","4.08","16.14"
"VEDL","461.00","463.65","455.10","458.30","459.00","-","0.70","0.15","44,56,947","204.67","526.95","363.00","5.08","-2.14"
"MANAPPURAM","273.85","281.35","273.60","274.85","275.25","-","0.40","0.15","55,66,314","154.74","284.90","138.35","19.06","32.74"
"TITAN","3,666.00","3,690.10","3,645.10","3,678.70","3,684.00","-","5.30","0.14","6,29,926","231.10","3,867.00","2,925.00","5.35","10.52"
"RVNL","391.30","394.30","388.65","390.65","391.20","-","0.55","0.14","29,29,965","114.74","647.00","305.00","-8.97","-6.53"
"ETERNAL","262.10","263.70","259.65","260.85","261.20","-","0.35","0.13","1,30,76,740","342.86","304.70","194.80","6.40","-"
"IRCON","199.20","200.80","197.40","199.15","199.40","-","0.25","0.13","26,34,568","52.43","351.60","134.24","-9.48","-28.67"
"VGUARD","396.00","401.60","390.80","394.35","394.85","-","0.50","0.13","5,66,837","22.46","577.45","300.00","5.69","-15.36"
"CENTRALBK","39.60","39.93","39.35","39.61","39.47","-","0.05","0.13","55,37,282","21.92","67.64","32.75","-1.84","-36.59"
"NH","2,017.30","2,020.00","1,983.00","2,005.90","2,008.10","-","2.20","0.11","4,27,579","85.52","2,370.20","1,171.00","15.60","61.99"
"SONACOMS","480.00","480.60","474.00","479.35","478.25","-","0.50","0.10","6,66,146","31.79","768.65","380.00","-11.09","-28.27"
"ADANIENSOL","875.80","884.00","867.15","875.25","876.05","-","0.80","0.09","40,81,958","357.05","1,348.00","588.00","1.29","-14.49"
"HUDCO","231.01","233.99","229.55","231.01","231.21","-","0.20","0.09","28,72,546","66.57","353.70","158.85","-6.51","-28.80"
"COLPAL","2,456.50","2,456.50","2,426.50","2,445.30","2,447.50","-","2.20","0.09","2,48,938","60.82","3,890.00","2,311.50","-1.43","-15.20"
"ASTRAZEN","9,111.50","9,205.50","9,040.00","9,111.50","9,120.00","-","8.50","0.09","25,256","23.06","10,691.00","6,220.00","-4.12","27.69"
"SBICARD","915.00","919.45","906.55","911.40","912.00","-","0.60","0.07","8,09,693","73.76","1,027.25","659.80","-3.44","26.53"
"ZYDUSLIFE","1,004.00","1,014.85","999.00","999.40","1,000.00","-","0.60","0.06","8,45,835","84.93","1,324.30","795.00","7.46","-11.97"
"ACMESOLAR","250.00","250.40","247.15","249.70","249.85","-","0.15","0.06","4,36,305","10.88","292.40","167.75","-1.63","-"
"CHOLAFIN","1,532.10","1,545.50","1,515.00","1,527.10","1,527.90","-","0.80","0.05","17,51,430","267.91","1,684.40","1,168.00","0.93","7.39"
"ICICIGI","2,041.20","2,046.50","2,029.20","2,034.10","2,035.00","-","0.90","0.04","3,81,077","77.57","2,301.90","1,613.70","8.65","11.37"
"GILLETTE","10,730.00","10,810.00","10,646.00","10,696.00","10,700.00","-","4.00","0.04","13,761","14.77","11,006.00","7,152.75","7.46","47.87"
"SRF","3,245.00","3,266.90","3,219.10","3,232.00","3,232.90","-","0.90","0.03","3,21,665","104.06","3,288.90","2,126.85","6.03","35.15"
"NTPCGREEN","106.03","106.92","105.73","106.43","106.45","-","0.02","0.02","52,18,821","55.59","155.35","84.55","-1.26","-"
"APTUS","322.90","323.50","317.65","322.05","322.10","-","0.05","0.02","8,70,537","27.88","401.65","267.95","4.86","-6.23"
"SCHNEIDER","826.00","826.00","815.15","819.80","820.00","-","0.20","0.02","43,552","3.57","980.00","540.00","-","-"
"TATACONSUM","1,091.00","1,095.00","1,082.00","1,089.40","1,089.50","-","0.10","0.01","5,73,351","62.27","1,250.10","882.90","-3.09","-4.01"
"CHALET","889.85","902.20","882.50","886.90","887.00","-","0.10","0.01","2,63,681","23.46","1,052.45","634.05","-3.24","4.21"
"SHYAMMETL","875.00","889.70","875.00","877.15","877.25","-","0.10","0.01","2,24,930","19.82","956.90","628.25","3.07","21.71"
"GNFC","559.90","561.55","554.40","558.80","558.85","-","0.05","0.01","2,45,485","13.69","738.90","449.00","1.77","-23.30"
"KNRCON","225.00","225.80","221.44","223.43","223.40","-","-0.03","-0.01","18,56,972","41.59","415.40","192.55","7.34","-37.73"
"TORNTPOWER","1,445.00","1,453.50","1,428.10","1,442.40","1,442.30","-","-0.10","-0.01","1,75,116","25.26","2,037.00","1,207.25","1.46","-4.89"
"JIOFIN","326.00","327.60","323.35","325.05","325.00","-","-0.05","-0.02","96,23,498","312.85","363.00","198.65","11.92","-7.38"
"BLUESTARCO","1,835.00","1,877.80","1,817.60","1,842.30","1,841.90","-","-0.40","-0.02","15,05,974","278.78","2,417.00","1,521.00","18.67","14.67"
"MSUMI","60.69","61.00","60.08","60.38","60.37","-","-0.01","-0.02","49,40,360","29.80","77.00","46.08","2.74","-17.49"
"MAPMYINDIA","1,741.00","1,754.00","1,731.00","1,735.30","1,735.00","-","-0.30","-0.02","41,222","7.17","2,690.00","1,513.00","-9.50","-29.09"
"KANSAINER","250.35","251.45","249.10","250.25","250.20","-","-0.05","-0.02","99,809","2.50","320.50","218.20","0.54","-7.13"
"CUB","216.88","220.99","211.90","216.89","216.82","-","-0.07","-0.03","21,16,720","45.80","232.55","142.91","9.87","25.74"
"ROUTE","1,019.80","1,034.00","1,007.00","1,016.90","1,016.60","-","-0.30","-0.03","92,338","9.39","1,942.45","861.90","7.31","-42.45"
"BHARTIARTL","2,027.00","2,036.50","2,005.10","2,019.30","2,018.30","-","-1.00","-0.05","21,78,315","438.73","2,045.80","1,408.45","7.56","41.75"
"HFCL","84.51","85.70","83.85","84.52","84.48","-","-0.04","-0.05","62,32,012","52.80","171.00","71.60","-5.86","-32.33"
"POLYMED","2,245.00","2,269.80","2,208.20","2,241.20","2,240.00","-","-1.20","-0.05","86,972","19.48","3,357.80","1,810.15","0.21","9.45"
"M&MFIN","267.40","271.00","264.55","266.50","266.35","-","-0.15","-0.06","14,27,953","38.14","333.01","231.02","1.56","-10.65"
"NHPC","85.02","85.65","84.31","84.97","84.90","-","-0.07","-0.08","69,86,352","59.31","118.40","71.00","-2.38","-17.92"
"CGCL","167.08","168.03","165.29","166.44","166.30","-","-0.14","-0.08","20,80,035","34.61","231.35","150.51","9.92","-21.99"
"COALINDIA","387.70","387.90","383.40","386.45","386.10","-","-0.35","-0.09","39,90,767","153.80","543.55","349.25","-2.15","-21.13"
"IRB","49.52","49.90","48.93","49.50","49.45","-","-0.05","-0.10","81,89,905","40.46","72.00","40.96","-3.15","-26.89"
"INOXINDIA","1,259.40","1,268.50","1,248.40","1,259.40","1,258.00","-","-1.40","-0.11","62,874","7.91","1,506.90","884.20","3.09","-10.05"
"ASIANPAINT","2,430.90","2,443.00","2,412.00","2,430.90","2,428.00","-","-2.90","-0.12","6,02,320","146.03","3,394.90","2,124.75","7.79","-17.40"
"COROMANDEL","2,250.70","2,267.50","2,223.00","2,233.60","2,231.00","-","-2.60","-0.12","5,30,031","118.83","2,548.00","1,499.70","-4.14","41.41"
"UCOBANK","32.68","32.90","32.30","32.39","32.35","-","-0.04","-0.12","1,00,80,387","32.82","60.68","26.81","-4.22","-39.75"
"IEX","198.80","200.69","196.01","197.75","197.50","-","-0.25","-0.13","55,07,326","109.37","244.40","151.00","-2.17","7.62"
"NATIONALUM","192.01","193.80","190.65","192.25","192.00","-","-0.25","-0.13","37,63,422","72.34","262.99","137.75","5.13","-1.28"
"SUNTV","594.40","594.40","585.50","590.50","589.75","-","-0.75","-0.13","2,10,101","12.39","921.00","549.30","-6.44","-24.46"
"UBL","1,985.00","1,995.00","1,958.30","1,982.50","1,980.00","-","-2.50","-0.13","59,476","11.76","2,299.70","1,810.00","-2.53","-1.67"
"ABB","5,892.00","5,901.50","5,841.00","5,871.50","5,863.00","-","-8.50","-0.14","1,53,889","90.25","8,940.60","4,684.45","-2.97","-32.74"
"OBEROIRLTY","1,879.00","1,889.80","1,855.10","1,871.00","1,868.40","-","-2.60","-0.14","3,73,302","69.80","2,343.65","1,451.95","5.19","4.07"
"ITC","414.90","415.00","411.75","413.35","412.70","-","-0.65","-0.16","82,56,733","340.83","528.50","390.15","-1.07","-3.85"
"INDIGO","5,789.50","5,825.00","5,737.50","5,766.00","5,756.50","-","-9.50","-0.16","3,45,735","199.67","6,018.00","3,780.00","6.22","34.14"
"FIVESTAR","771.00","780.00","765.00","771.20","770.00","-","-1.20","-0.16","6,79,096","52.31","943.75","595.00","12.24","-4.22"
"HDFCLIFE","783.90","788.80","780.20","785.85","784.55","-","-1.30","-0.17","15,36,851","120.48","820.75","584.30","3.47","29.99"
"GMDCLTD","407.90","412.45","402.00","407.70","407.00","-","-0.70","-0.17","9,54,606","38.91","439.90","226.59","10.37","2.47"
"ZENSARTECH","855.10","855.70","843.00","852.40","850.95","-","-1.45","-0.17","3,06,482","26.06","984.95","535.85","3.74","13.34"
"ITI","329.00","331.55","325.00","327.20","326.65","-","-0.55","-0.17","2,83,790","9.30","592.70","210.00","-1.01","5.60"
"UNOMINDA","1,099.40","1,101.70","1,086.00","1,099.40","1,097.40","-","-2.00","-0.18","2,65,465","29.08","1,255.00","767.60","4.15","-5.34"
"NEWGEN","1,139.80","1,139.90","1,123.40","1,134.30","1,132.10","-","-2.20","-0.19","1,75,220","19.81","1,798.90","758.20","-7.37","16.97"
"APOLLOHOSP","7,593.00","7,593.00","7,525.00","7,565.00","7,550.00","-","-15.00","-0.20","3,49,076","263.82","7,600.50","6,001.00","10.19","21.34"
"AMBER","7,345.00","7,425.00","7,224.00","7,345.00","7,329.50","-","-15.50","-0.21","3,33,591","244.90","8,177.00","3,964.00","17.78","63.35"
"VOLTAS","1,369.70","1,394.20","1,353.30","1,367.00","1,364.00","-","-3.00","-0.22","17,80,860","244.13","1,944.90","1,135.00","10.98","-5.56"
"JBCHEPHARM","1,632.10","1,646.40","1,631.00","1,639.40","1,635.80","-","-3.60","-0.22","11,17,679","183.19","2,030.00","1,385.75","-3.54","-8.26"
"PVRINOX","979.00","987.70","970.40","978.15","976.00","-","-2.15","-0.22","1,89,459","18.53","1,748.00","830.00","-7.86","-33.54"
"BIKAJI","736.65","738.95","727.05","736.65","735.00","-","-1.65","-0.22","1,93,019","14.13","1,007.95","558.80","-3.65","2.57"
"FLUOROCHEM","3,520.80","3,545.70","3,500.10","3,520.80","3,513.00","-","-7.80","-0.22","29,275","10.30","4,880.95","3,101.05","-4.08","8.54"
"SUNPHARMA","1,686.70","1,686.70","1,671.60","1,679.70","1,675.90","-","-3.80","-0.23","12,64,399","212.20","1,960.35","1,498.30","0.68","7.60"
"TEJASNET","707.10","710.50","701.80","706.60","705.00","-","-1.60","-0.23","4,67,032","32.97","1,470.70","646.55","-0.18","-50.76"
"IOB","40.10","40.37","39.75","39.99","39.90","-","-0.09","-0.23","68,53,586","27.45","72.60","33.50","-3.03","-36.71"
"GLAND","1,873.00","1,888.80","1,858.90","1,874.40","1,870.00","-","-4.40","-0.23","1,29,735","24.30","2,220.95","1,277.80","15.21","3.46"
"HINDZINC","448.90","448.90","443.10","445.55","444.50","-","-1.05","-0.24","17,86,418","79.57","717.00","378.15","-4.89","-35.12"
"TATAELXSI","6,230.00","6,244.00","6,151.00","6,215.00","6,200.00","-","-15.00","-0.24","97,329","60.33","9,080.00","4,700.00","-3.70","-12.25"
"KEC","902.50","906.25","892.35","900.30","898.05","-","-2.25","-0.25","2,84,065","25.51","1,313.25","627.45","2.05","-2.57"
"PFC","415.70","419.65","412.20","415.45","414.35","-","-1.10","-0.26","45,44,818","188.35","580.00","357.25","2.09","-22.56"
"ASHOKLEY","251.10","251.80","248.40","250.50","249.85","-","-0.65","-0.26","36,45,478","91.09","264.65","191.86","6.04","10.01"
"MAXHEALTH","1,306.80","1,314.30","1,286.00","1,301.40","1,296.40","-","-3.50","-0.27","10,62,360","138.13","1,314.30","836.60","13.02","41.45"
"UNITDSPR","1,384.90","1,391.50","1,372.20","1,381.70","1,378.00","-","-3.70","-0.27","9,05,626","125.09","1,700.00","1,249.30","-13.00","9.43"
"LTIM","5,324.50","5,350.50","5,291.50","5,324.50","5,310.00","-","-14.50","-0.27","1,54,919","82.31","6,767.95","3,802.00","3.16","-2.63"
"NCC","225.00","227.50","223.55","225.00","224.40","-","-0.60","-0.27","13,98,510","31.52","364.50","170.05","-4.66","-33.85"
"FINCABLES","986.00","986.00","968.55","981.55","978.85","-","-2.70","-0.28","1,23,569","12.07","1,697.95","780.00","1.30","-40.33"
"AKUMS","582.00","583.20","568.55","580.45","578.85","-","-1.60","-0.28","1,30,275","7.50","1,175.90","405.00","4.41","-"
"AWL","256.65","257.75","255.00","256.65","255.90","-","-0.75","-0.29","10,99,740","28.19","403.95","231.55","-4.67","-23.29"
"JUBLPHARMA","1,205.00","1,205.00","1,186.40","1,201.50","1,198.00","-","-3.50","-0.29","1,69,808","20.29","1,309.90","701.80","2.93","59.31"
"IRFC","139.75","140.47","138.31","139.70","139.28","-","-0.42","-0.30","65,96,356","91.93","229.00","108.04","-3.94","-21.65"
"MOTHERSON","154.28","154.83","152.62","154.28","153.81","-","-0.47","-0.30","38,34,030","58.86","216.99","107.25","0.78","-25.50"
"JWL","381.20","384.95","380.00","382.45","381.30","-","-1.15","-0.30","5,54,003","21.14","748.10","270.05","-4.67","-47.16"
"AIAENG","3,300.00","3,323.60","3,276.10","3,309.80","3,300.00","-","-9.80","-0.30","22,773","7.53","4,949.95","3,027.20","-6.16","-21.95"
"IREDA","167.83","168.30","165.53","167.52","167.00","-","-0.52","-0.31","56,13,838","93.68","310.00","137.01","-4.21","-24.41"
"DEEPAKNTR","1,975.00","1,988.00","1,951.70","1,971.10","1,965.00","-","-6.10","-0.31","94,339","18.53","3,169.00","1,782.00","-1.25","-26.67"
"GVT&D","2,335.00","2,375.00","2,291.20","2,352.80","2,345.20","-","-7.60","-0.32","2,50,076","58.46","2,500.00","1,254.00","-0.14","-"
"TRIVENI","377.05","378.70","371.75","375.85","374.65","-","-1.20","-0.32","2,62,624","9.84","536.00","313.10","-11.48","-4.74"
"TTML","66.15","66.50","65.56","66.09","65.88","-","-0.21","-0.32","8,29,878","5.47","111.40","50.10","-","-"
"KAYNES","6,175.00","6,260.00","6,125.50","6,175.50","6,155.00","-","-20.50","-0.33","2,19,176","135.44","7,822.00","3,726.00","7.30","53.61"
"TATAMOTORS","691.00","692.85","686.35","690.40","688.00","-","-2.40","-0.35","49,42,900","340.54","1,179.00","535.75","-2.83","-30.97"
"YESBANK","20.15","20.20","19.98","20.15","20.08","-","-0.07","-0.35","5,97,48,051","119.91","27.44","16.02","-5.16","-16.28"
"APLAPOLLO","1,730.70","1,743.10","1,703.60","1,729.20","1,723.00","-","-6.20","-0.36","7,73,734","132.94","1,936.00","1,272.70","-9.33","8.66"
"HDFCAMC","5,045.00","5,083.50","4,984.50","5,045.00","5,027.00","-","-18.00","-0.36","2,29,547","115.59","5,278.90","3,563.05","6.20","19.25"
"IDBI","101.98","102.40","100.70","101.40","101.04","-","-0.36","-0.36","60,74,384","61.58","107.90","65.89","0.76","20.78"
"CASTROLIND","222.00","224.10","219.00","221.96","221.15","-","-0.81","-0.36","16,06,114","35.53","284.40","162.60","1.60","-12.10"
"HONAUT","41,290.00","41,290.00","40,550.00","41,200.00","41,050.00","-","-150.00","-0.36","7,725","31.63","59,000.00","31,025.00","4.24","-30.10"
"LICI","945.00","953.85","934.00","946.00","942.50","-","-3.50","-0.37","7,87,030","74.16","1,222.00","715.30","-1.32","-6.88"
"MMTC","71.35","71.35","69.61","70.34","70.08","-","-0.26","-0.37","7,03,879","4.96","131.80","44.50","-10.28","-18.37"
"PNBHOUSING","1,088.10","1,088.10","1,073.60","1,084.40","1,080.30","-","-4.10","-0.38","4,51,031","48.73","1,202.20","741.25","2.27","33.65"
"LATENTVIEW","450.00","453.00","441.60","446.70","445.00","-","-1.70","-0.38","7,88,557","35.22","575.00","341.20","8.30","-"
"RCF","156.90","157.88","154.50","156.79","156.20","-","-0.59","-0.38","12,47,282","19.49","245.00","110.80","-2.31","-22.83"
"ADANIPORTS","1,432.00","1,439.90","1,416.60","1,431.10","1,425.50","-","-5.60","-0.39","6,08,462","86.85","1,604.95","995.65","-0.82","-5.27"
"JBMA","648.80","650.40","643.00","649.15","646.65","-","-2.50","-0.39","1,74,740","11.29","1,169.38","489.80","-9.39","-69.91"
"INDHOTEL","748.25","753.00","742.05","748.25","745.15","-","-3.10","-0.41","24,37,653","181.84","894.90","571.05","-3.01","22.02"
"BRITANNIA","5,819.50","5,844.00","5,756.50","5,794.50","5,770.00","-","-24.50","-0.42","1,45,106","83.95","6,469.90","4,506.00","4.14","6.36"
"NAM-INDIA","801.30","802.35","784.10","803.45","790.00","-","-3.45","-0.43","4,53,710","36.02","821.95","498.05","5.67","21.43"
"ALOKINDS","20.20","20.40","20.02","20.23","20.14","-","-0.09","-0.44","52,99,713","10.69","29.79","14.01","4.90","-28.66"
"CERA","6,765.00","6,828.50","6,710.00","6,765.00","6,735.00","-","-30.00","-0.44","14,844","10.05","10,789.95","5,060.05","2.17","-25.19"
"SCI","222.60","224.65","220.10","222.04","221.05","-","-0.99","-0.45","20,00,563","44.43","384.20","138.26","5.87","-17.97"
"SHREECEM","31,550.00","31,575.00","31,175.00","31,420.00","31,280.00","-","-140.00","-0.45","12,514","39.23","31,920.00","23,500.00","6.37","14.04"
"ADANIENT","2,617.00","2,617.00","2,582.20","2,611.20","2,599.00","-","-12.20","-0.47","3,70,305","96.25","3,258.00","2,025.00","4.41","-17.34"
"GRAPHITE","567.50","572.25","561.05","566.70","564.05","-","-2.65","-0.47","3,49,224","19.76","623.35","365.75","-1.03","-2.47"
"KPIL","1,198.00","1,203.70","1,183.50","1,198.00","1,192.40","-","-5.60","-0.47","52,483","6.26","1,449.00","786.30","1.97","-2.88"
"SARDAEN","435.80","437.95","428.95","434.05","432.00","-","-2.05","-0.47","1,31,563","5.68","563.45","231.00","-1.38","79.14"
"ECLERX","3,437.70","3,479.00","3,388.00","3,414.40","3,398.00","-","-16.40","-0.48","26,519","9.08","3,877.00","2,168.00","-2.73","35.35"
"SBFC","110.94","112.41","109.59","110.94","110.40","-","-0.54","-0.49","17,51,872","19.43","117.00","77.61","-2.44","33.20"
"WAAREEENER","2,994.40","3,021.00","2,963.10","2,992.90","2,978.00","-","-14.90","-0.50","9,39,413","280.85","3,743.00","1,863.00","3.37","-"
"EIHOTEL","367.55","371.50","364.40","367.95","366.10","-","-1.85","-0.50","1,32,599","4.87","445.45","305.00","-1.97","-13.77"
"SIEMENS","3,320.00","3,320.00","3,237.00","3,311.70","3,294.90","-","-16.80","-0.51","5,04,152","165.10","8,129.90","2,450.00","-0.51","-58.15"
"PIIND","4,249.90","4,274.10","4,191.70","4,238.60","4,216.80","-","-21.80","-0.51","1,27,365","53.95","4,804.05","2,951.10","6.29","11.32"
"PNCINFRA","306.20","309.40","304.50","306.85","305.30","-","-1.55","-0.51","2,06,439","6.33","539.50","240.00","7.29","-37.55"
"GRASIM","2,817.60","2,820.00","2,785.70","2,817.60","2,802.90","-","-14.70","-0.52","2,86,779","80.29","2,896.00","2,276.95","10.05","2.60"
"NMDC","69.24","69.48","68.30","69.06","68.70","-","-0.36","-0.52","1,13,70,389","78.34","85.13","59.53","-2.23","-72.66"
"GLAXO","3,303.00","3,348.00","3,275.00","3,302.00","3,284.70","-","-17.30","-0.52","78,280","25.87","3,515.70","1,921.00","-3.99","26.87"
"HEG","505.65","510.70","502.35","505.65","503.00","-","-2.65","-0.52","2,57,541","13.03","619.50","331.25","-3.35","-77.52"
"INDUSTOWER","426.00","429.80","421.75","425.75","423.50","-","-2.25","-0.53","39,00,169","166.15","460.35","312.75","10.85","5.17"
"SWSOLAR","311.70","314.00","307.40","311.00","309.35","-","-1.65","-0.53","13,60,712","42.21","758.45","218.45","2.36","-56.23"
"PATANJALI","1,660.00","1,670.00","1,645.90","1,661.20","1,652.20","-","-9.00","-0.54","3,08,750","51.22","2,011.00","1,541.05","-1.15","1.62"
"GPIL","185.00","185.98","180.50","183.69","182.70","-","-0.99","-0.54","8,33,262","15.22","253.40","145.75","-3.82","-83.51"
"NIACL","186.80","187.43","183.71","186.80","185.79","-","-1.01","-0.54","4,76,574","8.83","310.11","135.60","0.23","-27.25"
"DOMS","2,480.00","2,493.10","2,445.00","2,468.30","2,455.00","-","-13.30","-0.54","26,037","6.42","3,115.00","2,092.30","0.91","12.46"
"CCL","882.05","899.70","878.95","884.95","880.10","-","-4.85","-0.55","2,79,418","24.79","915.00","525.00","-0.58","50.18"
"BANKINDIA","118.80","119.35","116.93","118.49","117.83","-","-0.66","-0.56","73,42,255","86.60","130.24","90.05","-5.67","-0.70"
"CHAMBLFERT","568.00","570.90","559.20","565.15","562.00","-","-3.15","-0.56","12,17,782","68.80","742.20","443.20","0.72","8.72"
"NAVA","613.35","624.70","606.00","613.45","610.00","-","-3.45","-0.56","5,17,531","31.77","673.90","351.75","15.38","-15.58"
"MEDANTA","1,188.50","1,194.90","1,170.00","1,190.60","1,183.90","-","-6.70","-0.56","1,35,543","15.99","1,298.80","935.50","-1.09","-6.85"
"PCBL","411.70","414.30","406.85","411.25","408.90","-","-2.35","-0.57","4,69,908","19.28","584.40","252.20","-2.20","57.64"
"THERMAX","3,485.00","3,498.00","3,430.00","3,483.90","3,450.20","-","-19.70","-0.57","32,372","11.21","5,839.95","2,950.05","-1.61","-34.61"
"JSWSTEEL","1,051.70","1,051.70","1,032.10","1,046.10","1,040.00","-","-6.10","-0.58","9,61,108","99.89","1,074.90","854.15","7.52","10.28"
